Contig,Gene,site_pos,Species,Peak number,SNV position (genome),Gene product,GO annotation,Pathway,iLDS,Data type
NZ_GG698602,592028.3.peg.438,454888,Dialister_invisus_61905,3,454888,Aliphatic amidase AmiE (EC 3.5.1.4),GO:0004040|amidase activity,"00330|Arginine and proline metabolism;00360|Phenylalanine metabolism;00380|Tryptophan metabolism;00627|1,4-Dichlorobenzene degradation;00643|Styrene degradation",0.12173703,QP metagenomes
NZ_GG698602,592028.3.peg.423,439918,Dialister_invisus_61905,3,439918,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),GO:0030604|1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,00900|Terpenoid backbone biosynthesis,0.103639861,QP metagenomes
NZ_GG698602,592028.3.peg.462,474960,Dialister_invisus_61905,3,474960,"Glycosyl transferase, family 39",,,0.083790014,QP metagenomes
NZ_GG698602,592028.3.peg.437,451895,Dialister_invisus_61905,3,451895,Alanyl-tRNA synthetase (EC 6.1.1.7),GO:0004813|alanine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.128321638,QP metagenomes
NZ_GG698602,592028.3.peg.475,487424,Dialister_invisus_61905,3,487424,Uncharacterized protein YjgR,,,0.073086495,QP metagenomes
NZ_GG698602,592028.3.peg.433,450235,Dialister_invisus_61905,3,450235,DNA repair exonuclease family protein YhaO,,,0.139779879,QP metagenomes
NZ_GG698602,592028.3.peg.462,475654,Dialister_invisus_61905,3,475654,"Glycosyl transferase, family 39",,,0.079634119,QP metagenomes
NZ_GG698602,592028.3.peg.450,464173,Dialister_invisus_61905,3,464173,Two-component system regulator llrE,,,0.12201647,QP metagenomes
NZ_GG698602,592028.3.peg.448,462832,Dialister_invisus_61905,3,462832,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),GO:0052908|16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity,,0.13723949,QP metagenomes
NZ_GG698602,592028.3.peg.447,461786,Dialister_invisus_61905,3,461786,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.126787238,QP metagenomes
NZ_GG698602,592028.3.peg.452,466555,Dialister_invisus_61905,3,466555,Triosephosphate isomerase (EC 5.3.1.1),GO:0004807|triose-phosphate isomerase activity,00010|Glycolysis / Gluconeogenesis;00051|Fructose and mannose metabolism;00562|Inositol phosphate metabolism;00710|Carbon fixation in photosynthetic organisms,0.084355391,QP metagenomes
NZ_GG698602,592028.3.peg.428,442534,Dialister_invisus_61905,3,442534,Uridylate kinase (EC 2.7.4.22),GO:0033862|UMP kinase activity,00240|Pyrimidine metabolism,0.103293742,QP metagenomes
NZ_GG698602,592028.3.peg.424,440533,Dialister_invisus_61905,3,440533,Phosphatidate cytidylyltransferase (EC 2.7.7.41),GO:0004605|phosphatidate cytidylyltransferase activity,00564|Glycerophospholipid metabolism;04070|Phosphatidylinositol signaling system,0.082946543,QP metagenomes
NZ_GG698602,592028.3.peg.446,460202,Dialister_invisus_61905,3,460202,protein of unknown function DUF107,,,0.155187391,QP metagenomes
NZ_GG698602,592028.3.peg.432,446606,Dialister_invisus_61905,3,446606,hypothetical protein,,,0.106745352,QP metagenomes
NZ_GG698602,592028.3.peg.450,464183,Dialister_invisus_61905,3,464183,Two-component system regulator llrE,,,0.085723158,QP metagenomes
NZ_GG698602,592028.3.peg.463,476926,Dialister_invisus_61905,3,476926,"Glycosyl transferase, family 39",,,0.084502902,QP metagenomes
NZ_GG698602,592028.3.peg.438,454376,Dialister_invisus_61905,3,454376,Aliphatic amidase AmiE (EC 3.5.1.4),GO:0004040|amidase activity,"00330|Arginine and proline metabolism;00360|Phenylalanine metabolism;00380|Tryptophan metabolism;00627|1,4-Dichlorobenzene degradation;00643|Styrene degradation",0.140994781,QP metagenomes
NZ_GG698602,592028.3.peg.447,461502,Dialister_invisus_61905,3,461502,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.117816542,QP metagenomes
NZ_GG698602,592028.3.peg.432,446969,Dialister_invisus_61905,3,446969,hypothetical protein,,,0.105621625,QP metagenomes
NZ_GG698602,592028.3.peg.425,441279,Dialister_invisus_61905,3,441279,Undecaprenyl diphosphate synthase (EC 2.5.1.31),"GO:0008834|di-trans,poly-cis-decaprenylcistransferase activity",00900|Terpenoid backbone biosynthesis,0.109440344,QP metagenomes
NZ_GG698602,592028.3.peg.447,460722,Dialister_invisus_61905,3,460722,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.164954675,QP metagenomes
NZ_GG698602,592028.3.peg.473,484787,Dialister_invisus_61905,3,484787,hypothetical protein,,,0.056113542,QP metagenomes
NZ_GG698602,592028.3.peg.448,463081,Dialister_invisus_61905,3,463081,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),GO:0052908|16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity,,0.134935545,QP metagenomes
NZ_GG698602,592028.3.peg.447,460718,Dialister_invisus_61905,3,460718,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.124334308,QP metagenomes
NZ_GG698602,592028.3.peg.461,474395,Dialister_invisus_61905,3,474395,DedA family protein,,,0.089835389,QP metagenomes
NZ_GG698602,592028.3.peg.473,484814,Dialister_invisus_61905,3,484814,hypothetical protein,,,0.076314921,QP metagenomes
NZ_GG698602,592028.3.peg.463,476788,Dialister_invisus_61905,3,476788,"Glycosyl transferase, family 39",,,0.087517402,QP metagenomes
NZ_GG698602,592028.3.peg.425,440862,Dialister_invisus_61905,3,440862,Undecaprenyl diphosphate synthase (EC 2.5.1.31),"GO:0008834|di-trans,poly-cis-decaprenylcistransferase activity",00900|Terpenoid backbone biosynthesis,0.09972265,QP metagenomes
NZ_GG698602,592028.3.peg.431,445455,Dialister_invisus_61905,3,445455,hypothetical protein,,,0.09373481,QP metagenomes
NZ_GG698602,592028.3.peg.456,470671,Dialister_invisus_61905,3,470671,"Enoyl-[acyl-carrier-protein] reductase [FMN, NADH] (EC 1.3.1.9), FabK => refractory to triclosan",GO:0004318|enoyl-[acyl-carrier-protein] reductase (NADH) activity,00061|Fatty acid biosynthesis,0.0959901,QP metagenomes
NZ_GG698602,592028.3.peg.433,450021,Dialister_invisus_61905,3,450021,DNA repair exonuclease family protein YhaO,,,0.131364938,QP metagenomes
NZ_GG698602,592028.3.peg.475,486848,Dialister_invisus_61905,3,486848,Uncharacterized protein YjgR,,,0.053875223,QP metagenomes
NZ_GG698602,592028.3.peg.453,468174,Dialister_invisus_61905,3,468174,Phosphoglycerate kinase (EC 2.7.2.3),GO:0004618|phosphoglycerate kinase activity,00010|Glycolysis / Gluconeogenesis;00710|Carbon fixation in photosynthetic organisms,0.085061392,QP metagenomes
NZ_GG698602,592028.3.peg.437,452333,Dialister_invisus_61905,3,452333,Alanyl-tRNA synthetase (EC 6.1.1.7),GO:0004813|alanine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.121785636,QP metagenomes
NZ_GG698602,592028.3.peg.450,464175,Dialister_invisus_61905,3,464175,Two-component system regulator llrE,,,0.106984456,QP metagenomes
NZ_GG698602,592028.3.peg.447,460737,Dialister_invisus_61905,3,460737,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.130355049,QP metagenomes
NZ_GG698602,592028.3.peg.447,460769,Dialister_invisus_61905,3,460769,Seryl-tRNA synthetase (EC 6.1.1.11),GO:0004828|serine-tRNA ligase activity,00970|Aminoacyl-tRNA biosynthesis,0.139507066,QP metagenomes
NZ_GG698602,592028.3.peg.473,484985,Dialister_invisus_61905,3,484985,hypothetical protein,,,0.0603647,QP metagenomes
NZ_GG698602,592028.3.peg.448,462444,Dialister_invisus_61905,3,462444,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),GO:0052908|16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity,,0.126962156,QP metagenomes
NZ_GG698602,592028.3.peg.446,460470,Dialister_invisus_61905,3,460470,protein of unknown function DUF107,,,0.130451891,QP metagenomes
NZ_GG698602,592028.3.peg.459,472064,Dialister_invisus_61905,3,472064,Diaminopimelate decarboxylase (EC 4.1.1.20),GO:0008836|diaminopimelate decarboxylase activity,00300|Lysine biosynthesis,0.100713928,QP metagenomes
NZ_GG698602,592028.3.peg.432,447815,Dialister_invisus_61905,3,447815,hypothetical protein,,,0.127231387,QP metagenomes
NZ_GG698602,592028.3.peg.475,486908,Dialister_invisus_61905,3,486908,Uncharacterized protein YjgR,,,0.058356585,QP metagenomes
NZ_GG698602,592028.3.peg.425,441276,Dialister_invisus_61905,3,441276,Undecaprenyl diphosphate synthase (EC 2.5.1.31),"GO:0008834|di-trans,poly-cis-decaprenylcistransferase activity",00900|Terpenoid backbone biosynthesis,0.08936929,QP metagenomes
NZ_GG698602,592028.3.peg.432,446902,Dialister_invisus_61905,3,446902,hypothetical protein,,,0.129354297,QP metagenomes
NZ_GG698602,592028.3.peg.422,438494,Dialister_invisus_61905,3,438494,"Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage",,,0.101279797,QP metagenomes
NZ_GG698602,592028.3.peg.449,463181,Dialister_invisus_61905,3,463181,Ribonuclease M5 (EC 3.1.26.8),GO:0003676|nucleic acid binding;GO:0006304|DNA modification,,0.117751085,QP metagenomes
NZ_GG698602,592028.3.peg.446,460205,Dialister_invisus_61905,3,460205,protein of unknown function DUF107,,,0.153436818,QP metagenomes
NZ_GG698602,592028.3.peg.455,469607,Dialister_invisus_61905,3,469607,hypothetical protein,,,0.118805093,QP metagenomes
NZ_GG698602,592028.3.peg.440,455996,Dialister_invisus_61905,3,455996,hypothetical protein,,,0.119320735,QP metagenomes
NZ_GG698602,592028.3.peg.449,463439,Dialister_invisus_61905,3,463439,Ribonuclease M5 (EC 3.1.26.8),GO:0003676|nucleic acid binding;GO:0006304|DNA modification,,0.115591791,QP metagenomes
NZ_GG698602,592028.3.peg.1766,1709595,Dialister_invisus_61905,4,1709595,hypothetical protein,,,0.046166257,QP metagenomes
NZ_GG698602,592028.3.peg.1766,1709827,Dialister_invisus_61905,4,1709827,hypothetical protein,,,0.039667001,QP metagenomes
NZ_GG698602,592028.3.peg.1774,1714493,Dialister_invisus_61905,4,1714493,protein of unknown function aq_054,,,0.043344058,QP metagenomes
NC_012778,515620.4.peg.1550,1710458,Eubacterium_eligens_61678,1,1710458,hypothetical protein,,,0.050396465,QP metagenomes
NC_012778,515620.4.peg.1550,1710713,Eubacterium_eligens_61678,1,1710713,hypothetical protein,,,0.059984614,QP metagenomes
NC_012778,515620.4.peg.1554,1713005,Eubacterium_eligens_61678,1,1713005,hypothetical protein,,,0.050103669,QP metagenomes
NC_012778,515620.4.peg.1554,1714694,Eubacterium_eligens_61678,1,1714694,hypothetical protein,,,0.039160564,QP metagenomes
NC_012778,515620.4.peg.1555,1715064,Eubacterium_eligens_61678,1,1715064,"Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family",,,0.036143242,QP metagenomes
NC_012780,515620.4.peg.2341,400320,Eubacterium_eligens_61678,2,2544430,hypothetical protein,,,0.075855971,QP metagenomes
NC_012780,515620.4.peg.2341,400438,Eubacterium_eligens_61678,2,2544548,hypothetical protein,,,0.092379604,QP metagenomes
NC_012780,515620.4.peg.2342,401049,Eubacterium_eligens_61678,2,2545159,hypothetical protein,,,0.104373265,QP metagenomes
NC_012780,515620.4.peg.2342,401198,Eubacterium_eligens_61678,2,2545308,hypothetical protein,,,0.095163711,QP metagenomes
NC_012780,515620.4.peg.2342,401438,Eubacterium_eligens_61678,2,2545548,hypothetical protein,,,0.07914735,QP metagenomes
NC_012780,515620.4.peg.2342,401444,Eubacterium_eligens_61678,2,2545554,hypothetical protein,,,0.082063347,QP metagenomes
NC_012780,515620.4.peg.2342,401447,Eubacterium_eligens_61678,2,2545557,hypothetical protein,,,0.096475751,QP metagenomes
NC_012780,515620.4.peg.2342,401449,Eubacterium_eligens_61678,2,2545559,hypothetical protein,,,0.087840365,QP metagenomes
NC_012780,515620.4.peg.2342,401450,Eubacterium_eligens_61678,2,2545560,hypothetical protein,,,0.084403318,QP metagenomes
NC_012780,515620.4.peg.2342,401747,Eubacterium_eligens_61678,2,2545857,hypothetical protein,,,0.102292498,QP metagenomes
NC_012780,515620.4.peg.2342,401780,Eubacterium_eligens_61678,2,2545890,hypothetical protein,,,0.086782105,QP metagenomes
NC_012780,515620.4.peg.2342,401883,Eubacterium_eligens_61678,2,2545993,hypothetical protein,,,0.069509555,QP metagenomes
FP929042,657318.4.peg.1500,110819,Eubacterium_rectale_56927,1,110819,S-adenosylmethionine synthetase (EC 2.5.1.6),GO:0004478|methionine adenosyltransferase activity,00270|Cysteine and methionine metabolism,0.111877279,QP metagenomes
FP929042,657318.4.peg.954,98351,Eubacterium_rectale_56927,1,98351,"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family",GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity,,0.084585207,QP metagenomes
FP929042,657318.4.peg.954,98352,Eubacterium_rectale_56927,1,98352,"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family",GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity,,0.097866569,QP metagenomes
FP929042,657318.4.peg.952,95266,Eubacterium_rectale_56927,1,95266,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8),GO:0008763|UDP-N-acetylmuramate-L-alanine ligase activity,00471|D-Glutamine and D-glutamate metabolism;00550|Peptidoglycan biosynthesis,0.063255529,QP metagenomes
FP929042,657318.4.peg.953,96629,Eubacterium_rectale_56927,1,96629,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),GO:0008878|glucose-1-phosphate adenylyltransferase activity,00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism,0.080546504,QP metagenomes
FP929042,657318.4.peg.953,96776,Eubacterium_rectale_56927,1,96776,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),GO:0008878|glucose-1-phosphate adenylyltransferase activity,00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism,0.095271783,QP metagenomes
FP929042,657318.4.peg.1500,110494,Eubacterium_rectale_56927,1,110494,S-adenosylmethionine synthetase (EC 2.5.1.6),GO:0004478|methionine adenosyltransferase activity,00270|Cysteine and methionine metabolism,0.095808264,QP metagenomes
FP929042,657318.4.peg.954,97375,Eubacterium_rectale_56927,1,97375,"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family",GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity,,0.108115585,QP metagenomes
FP929042,657318.4.peg.1498,108254,Eubacterium_rectale_56927,1,108254,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),GO:0008760|UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,00520|Amino sugar and nucleotide sugar metabolism;00550|Peptidoglycan biosynthesis,0.115443023,QP metagenomes
FP929042,657318.4.peg.938,83439,Eubacterium_rectale_56927,1,83439,Protein translocase subunit SecY,,,0.052880679,QP metagenomes
FP929042,657318.4.peg.1500,110229,Eubacterium_rectale_56927,1,110229,S-adenosylmethionine synthetase (EC 2.5.1.6),GO:0004478|methionine adenosyltransferase activity,00270|Cysteine and methionine metabolism,0.112569406,QP metagenomes
FP929042,657318.4.peg.951,93585,Eubacterium_rectale_56927,1,93585,hypothetical protein,,,0.055623242,QP metagenomes
FP929042,657318.4.peg.1502,112550,Eubacterium_rectale_56927,1,112550,Two-component system sensor histidine kinase,,,0.088654482,QP metagenomes
FP929042,657318.4.peg.951,93420,Eubacterium_rectale_56927,1,93420,hypothetical protein,,,0.054214481,QP metagenomes
FP929042,657318.4.peg.1498,107838,Eubacterium_rectale_56927,1,107838,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),GO:0008760|UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,00520|Amino sugar and nucleotide sugar metabolism;00550|Peptidoglycan biosynthesis,0.127203234,QP metagenomes
FP929042,657318.4.peg.954,97776,Eubacterium_rectale_56927,1,97776,"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family",GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity,,0.093706765,QP metagenomes
FP929042,657318.4.peg.1496,106006,Eubacterium_rectale_56927,1,106006,hypothetical protein,,,0.113780026,QP metagenomes
FP929042,657318.4.peg.1500,110230,Eubacterium_rectale_56927,1,110230,S-adenosylmethionine synthetase (EC 2.5.1.6),GO:0004478|methionine adenosyltransferase activity,00270|Cysteine and methionine metabolism,0.099255148,QP metagenomes
FP929042,657318.4.peg.1502,112771,Eubacterium_rectale_56927,1,112771,Two-component system sensor histidine kinase,,,0.09167716,QP metagenomes
FP929042,657318.4.peg.955,98536,Eubacterium_rectale_56927,1,98536,DNA-binding protein SpoVG,,,0.110650663,QP metagenomes
FP929042,657318.4.peg.1495,104862,Eubacterium_rectale_56927,1,104862,Transcription-repair coupling factor,GO:0003676|nucleic acid binding;GO:0003700|transcription factor activity;GO:0004386|helicase activity;GO:0005524|ATP binding;GO:0008026|ATP-dependent helicase activity,,0.108272352,QP metagenomes
FP929042,657318.4.peg.941,86148,Eubacterium_rectale_56927,1,86148,Translation initiation factor 1,GO:0003723|RNA binding;GO:0003743|translation initiation factor activity;GO:0006413|translational initiation,,0.042781935,QP metagenomes
FP929042,657318.4.peg.955,98624,Eubacterium_rectale_56927,1,98624,DNA-binding protein SpoVG,,,0.110785215,QP metagenomes
FP929042,657318.4.peg.1502,112878,Eubacterium_rectale_56927,1,112878,Two-component system sensor histidine kinase,,,0.078342907,QP metagenomes
FP929042,657318.4.peg.953,96986,Eubacterium_rectale_56927,1,96986,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),GO:0008878|glucose-1-phosphate adenylyltransferase activity,00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism,0.089585582,QP metagenomes
FP929042,657318.4.peg.1498,107862,Eubacterium_rectale_56927,1,107862,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),GO:0008760|UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,00520|Amino sugar and nucleotide sugar metabolism;00550|Peptidoglycan biosynthesis,0.122026673,QP metagenomes
FP929042,657318.4.peg.954,98264,Eubacterium_rectale_56927,1,98264,"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family",GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity,,0.097199044,QP metagenomes
FP929042,657318.4.peg.1502,113461,Eubacterium_rectale_56927,1,113461,Two-component system sensor histidine kinase,,,0.094462888,QP metagenomes
FP929042,657318.4.peg.1496,106159,Eubacterium_rectale_56927,1,106159,hypothetical protein,,,0.121398334,QP metagenomes
FP929042,657318.4.peg.946,88934,Eubacterium_rectale_56927,1,88934,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),GO:0003899|DNA-directed RNA polymerase activity,00230|Purine metabolism;00240|Pyrimidine metabolism,0.044686824,QP metagenomes
FP929042,657318.4.peg.42,316484,Eubacterium_rectale_56927,2,316484,hypothetical protein,,,0.062367484,QP metagenomes
FP929042,657318.4.peg.39,312775,Eubacterium_rectale_56927,2,312775,hypothetical protein,,,0.077789659,QP metagenomes
FP929042,657318.4.peg.57,332572,Eubacterium_rectale_56927,2,332572,HPr kinase/phosphorylase,,,0.119547629,QP metagenomes
FP929042,657318.4.peg.66,343525,Eubacterium_rectale_56927,2,343525,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.073922493,QP metagenomes
FP929042,657318.4.peg.41,314795,Eubacterium_rectale_56927,2,314795,hypothetical protein,,,0.092123564,QP metagenomes
FP929042,657318.4.peg.38,312150,Eubacterium_rectale_56927,2,312150,hypothetical protein,,,0.059020373,QP metagenomes
FP929042,657318.4.peg.62,336760,Eubacterium_rectale_56927,2,336760,Transcription regulator [contains diacylglycerol kinase catalytic domain],GO:0004143|diacylglycerol kinase activity;GO:0007205|protein kinase C activation,,0.097162234,QP metagenomes
FP929042,657318.4.peg.38,312127,Eubacterium_rectale_56927,2,312127,hypothetical protein,,,0.057003599,QP metagenomes
FP929042,657318.4.peg.48,322371,Eubacterium_rectale_56927,2,322371,Glutamate racemase (EC 5.1.1.3),GO:0008881|glutamate racemase activity,00471|D-Glutamine and D-glutamate metabolism,0.059640216,QP metagenomes
FP929042,657318.4.peg.66,345091,Eubacterium_rectale_56927,2,345091,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.066002944,QP metagenomes
FP929042,657318.4.peg.66,343650,Eubacterium_rectale_56927,2,343650,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.065165281,QP metagenomes
FP929042,657318.4.peg.66,344031,Eubacterium_rectale_56927,2,344031,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.07259433,QP metagenomes
FP929042,657318.4.peg.66,345335,Eubacterium_rectale_56927,2,345335,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.057540489,QP metagenomes
FP929042,657318.4.peg.72,349681,Eubacterium_rectale_56927,2,349681,hypothetical protein,,,0.054881629,QP metagenomes
FP929042,657318.4.peg.69,347557,Eubacterium_rectale_56927,2,347557,Acyl-acyl carrier protein thioesterase,,,0.061021526,QP metagenomes
FP929042,657318.4.peg.39,313149,Eubacterium_rectale_56927,2,313149,hypothetical protein,,,0.095870547,QP metagenomes
FP929042,657318.4.peg.72,349709,Eubacterium_rectale_56927,2,349709,hypothetical protein,,,0.056345564,QP metagenomes
FP929042,657318.4.peg.72,350255,Eubacterium_rectale_56927,2,350255,hypothetical protein,,,0.04216702,QP metagenomes
FP929042,657318.4.peg.39,312975,Eubacterium_rectale_56927,2,312975,hypothetical protein,,,0.093193907,QP metagenomes
FP929042,657318.4.peg.38,312123,Eubacterium_rectale_56927,2,312123,hypothetical protein,,,0.047577948,QP metagenomes
FP929042,657318.4.peg.66,343655,Eubacterium_rectale_56927,2,343655,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.074993766,QP metagenomes
FP929042,657318.4.peg.64,340751,Eubacterium_rectale_56927,2,340751,"Glutamine synthetase type III, GlnN (EC 6.3.1.2)",,"00250|Alanine, aspartate and glutamate metabolism;00330|Arginine and proline metabolism;00630|Glyoxylate and dicarboxylate metabolism;00910|Nitrogen metabolism",0.095342382,QP metagenomes
FP929042,657318.4.peg.38,311917,Eubacterium_rectale_56927,2,311917,hypothetical protein,,,0.049683429,QP metagenomes
FP929042,657318.4.peg.48,322372,Eubacterium_rectale_56927,2,322372,Glutamate racemase (EC 5.1.1.3),GO:0008881|glutamate racemase activity,00471|D-Glutamine and D-glutamate metabolism,0.070075221,QP metagenomes
FP929042,657318.4.peg.46,321205,Eubacterium_rectale_56927,2,321205,hypothetical protein,,,0.074598083,QP metagenomes
FP929042,657318.4.peg.66,344023,Eubacterium_rectale_56927,2,344023,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.078914833,QP metagenomes
FP929042,657318.4.peg.39,312645,Eubacterium_rectale_56927,2,312645,hypothetical protein,,,0.066853929,QP metagenomes
FP929042,657318.4.peg.57,331749,Eubacterium_rectale_56927,2,331749,HPr kinase/phosphorylase,,,0.129155089,QP metagenomes
FP929042,657318.4.peg.66,344721,Eubacterium_rectale_56927,2,344721,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.062139361,QP metagenomes
FP929042,657318.4.peg.57,331662,Eubacterium_rectale_56927,2,331662,HPr kinase/phosphorylase,,,0.123313111,QP metagenomes
FP929042,657318.4.peg.66,345832,Eubacterium_rectale_56927,2,345832,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.056772428,QP metagenomes
FP929042,657318.4.peg.39,312650,Eubacterium_rectale_56927,2,312650,hypothetical protein,,,0.079310641,QP metagenomes
FP929042,657318.4.peg.39,313068,Eubacterium_rectale_56927,2,313068,hypothetical protein,,,0.095139046,QP metagenomes
FP929042,657318.4.peg.41,313692,Eubacterium_rectale_56927,2,313692,hypothetical protein,,,0.070345712,QP metagenomes
FP929042,657318.4.peg.46,321270,Eubacterium_rectale_56927,2,321270,hypothetical protein,,,0.06758863,QP metagenomes
FP929042,657318.4.peg.49,322915,Eubacterium_rectale_56927,2,322915,Endonuclease III (EC 4.2.99.18),GO:0003906|DNA-(apurinic or apyrimidinic site) lyase activity,,0.07558136,QP metagenomes
FP929042,657318.4.peg.49,323245,Eubacterium_rectale_56927,2,323245,Endonuclease III (EC 4.2.99.18),GO:0003906|DNA-(apurinic or apyrimidinic site) lyase activity,,0.079537762,QP metagenomes
FP929042,657318.4.peg.55,329310,Eubacterium_rectale_56927,2,329310,"Cell division-associated, ATP-dependent zinc metalloprotease FtsH",,,0.12433025,QP metagenomes
FP929042,657318.4.peg.41,314000,Eubacterium_rectale_56927,2,314000,hypothetical protein,,,0.077294481,QP metagenomes
FP929042,657318.4.peg.38,312139,Eubacterium_rectale_56927,2,312139,hypothetical protein,,,0.056281323,QP metagenomes
FP929042,657318.4.peg.40,313331,Eubacterium_rectale_56927,2,313331,hypothetical protein,,,0.091891007,QP metagenomes
FP929042,657318.4.peg.66,344653,Eubacterium_rectale_56927,2,344653,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.068426209,QP metagenomes
FP929042,657318.4.peg.66,345025,Eubacterium_rectale_56927,2,345025,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.066263293,QP metagenomes
FP929042,657318.4.peg.56,330353,Eubacterium_rectale_56927,2,330353,Excinuclease ABC subunit C,GO:0003677|DNA binding;GO:0004518|nuclease activity;GO:0005622|intracellular;GO:0006281|DNA repair;GO:0006289|nucleotide-excision repair,,0.117703551,QP metagenomes
FP929042,657318.4.peg.66,344704,Eubacterium_rectale_56927,2,344704,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity,00550|Peptidoglycan biosynthesis,0.068089146,QP metagenomes
